Load List											
Available Loads											
Name	Shipper Contacts	Available Loads	Person	Status	Pickup Date	Delivery Date	Origin	Destination	Origin state	Destination State	Trailer Type
Item 2	Superior Feeds	1		Available	2021-12-03	2021-12-11	Fayetteville, NC, USA	Holgate, OH, USA	NC	OH	Hopper
Item 3	Superior Feeds	1		Available	2021-12-03	2021-12-17	Fayetteville, NC, USA	Waterman, IL, USA	NC	IL	Hopper
Item 1	JBS	1		Available	2021-12-03	2021-12-07	Worthington, MN, USA	Kansas City, KS, USA	MN	KS	Hopper
X	JBS	1		Available	2021-12-03		Beardstown, IL, USA	Sharon, WI, USA	IL	WI	Hopper
X	JBS	1		Available	2021-12-03		Cactus, TX, USA	Hereford, TX, USA	TX	TX	Hopper
X	JBS	1		Available	2021-12-03		Beardstown, IL, USA	Cuthbert, GA, USA	IL	GA	Hopper
46-0-0	Simplot	5		Available			Portland, OR, USA	Weiser, ID, USA	OR	ID	Hopper
46-0-0	Simplot	1		Available			Portland, OR, USA	Burns, OR, USA	OR	OR	Hopper
46-0-0	Simplot	28		Available			Portland, OR, USA	Idaho Falls, ID, USA	OR	ID	Hopper
46-0-0	Simplot	3		Available			Portland, OR, USA	Richfield, UT, USA	OR	UT	Hopper
46-0-0	Simplot	2		Available			Portland, OR, USA	Burley, ID, USA	OR	ID	Hopper
11-52-0	Simplot	12		Available			Pocatello, ID, USA	Wolf Point, MT, USA	ID	MT	Hopper
11-52-0	Simplot	25		Available			Pocatello, ID, USA	Noonan, ND, USA	ID	ND	Hopper
11-52-0	Simplot	16		Available			Pocatello, ID, USA	Lynden, WA, USA	ID	WA	Hopper
11-52-0	Simplot	8		Available			Pocatello, ID, USA	Nyssa, OR, USA	ID	OR	Hopper
11-52-0	Simplot	2		Available			Pocatello, ID, USA	South Heart, ND, USA	ID	ND	Hopper
11-52-0	Simplot	2		Available			Pocatello, ID, USA	Madras, OR, USA	ID	OR	Hopper
16-20-0	Simplot	1		Available			Pocatello, ID, USA	Mount Vernon, WA, USA	ID	WA	Hopper
21-0-0	Simplot	1		Available			Pocatello, ID, USA	Rock River, WY, USA	ID	WY	Hopper
